snapshot_date,id,name,year,artists,categories,designers,expansion,expands,expansions,families,implementations,max_players,mechanics,min_age,min_players,playing_time,publishers,ranks,rating_average,rating_average_weight,rating_bayes_average,rating_median,rating_num_weights,rating_stddev,users_commented,users_owned,users_rated,users_trading,users_wanting,users_wishing
2018-04-28,2612,18AL,1999,Mark Derrick | John David Galt | Cory Williamson,Economic | Print & Play | Trains | Transportation,Mark Derrick,False,[],[],18xx | Admin: Better Description Needed! | Country: USA,,5,Auction/Bidding | Route/Network Building | Stock Holding,14,3,180,(Self-Published) | (Web published) | John Galt | Marflow Games | Print & Play Productions,"[Thing (id: 1), Thing (id: 5497)]",7.27596,3.8955,6.12389,0.0,67,1.40117,,638,562,21,,
2018-04-28,35614,Where There Is Discord: War in the South Atlantic,2009,George Bieda | Ugo Crisponi | Mark Mahaffey,Modern Warfare | Nautical | Political | Wargame,Daniel Hodges (I),False,[],[],Country: Argentina | Islands: Falkland Islands | Solitaire Games | Solitaire Wargames,,1,Dice Rolling | Simulation,0,1,240,Fifth Column Games,"[Thing (id: 1), Thing (id: 4664)]",7.96127,3.0725,6.11314,0.0,69,1.6836,,898,376,28,,
2018-04-28,80006,Mord im Arosa,2010,Oliver Richtberg | Tobias Schweiger,Action / Dexterity | Murder/Mystery | Party Game,Alessandro Zucchini,False,[],[],,,6,Memory,10,2,30,Competo / Marektoy | Zoch Verlag,"[Thing (id: 1), Thing (id: 5499)]",6.59645,1.4565,6.11581,0.0,92,1.20111,,1688,1441,67,,
2018-04-28,156138,Happy Pigs,2013,Biboun,Animals | Economic | Farming,Kuraki Mura,False,[],[],Animals: Pigs,,6,Simultaneous Action Selection,8,2,45,"IELLO | Kuraki Mura B.G. Studio | Portal Games | Swan Panasia Co., Ltd. | uplay.it edizioni","[Thing (id: 1), Thing (id: 5497), Thing (id: 5499)]",6.93889,2.4,6.19213,0.0,30,1.19664,,1734,1047,50,,
2018-04-28,3421,StreetSoccer,2002,Christof Tisch,Dice | Sports,Corné van Moorsel,False,[],[],Sports: Football / Soccer,Champions 2020,2,Dice Rolling | Grid Movement | Roll / Spin and Move,8,2,30,Cwali | Egmont Polska | Morapiaf,"[Thing (id: 1), Thing (id: 5499)]",6.56542,1.5407,6.11914,0.0,209,1.43341,,1400,1555,71,,
2018-04-28,189052,Sea of Clouds,2016,Miguel Coimbra,Card Game | Pirates,Théo Rivière,False,[],"[Thing (id: 205233), Thing (id: 202530), Thing (id: 205234)]",Admin: Better Description Needed!,,4,Card Drafting | Press Your Luck | Set Collection,10,2,45,GaGa Games | Hutter Trade GmbH + Co KG | IELLO | Portal Games | Reflexshop | uplay.it edizioni,"[Thing (id: 1), Thing (id: 5499)]",6.87628,1.6667,6.20769,0.0,24,1.21276,,2332,1255,62,,
2018-04-28,28829,Field Commander: Rommel,2008,Dan Verssen,Wargame | World War II,Dan Verssen,False,[],[],Field Commander Series | Solitaire Games | Solitaire Wargames,,1,Area Movement | Dice Rolling,12,1,120,Dan Verssen Games (DVG),"[Thing (id: 1), Thing (id: 4664)]",6.985,2.4672,6.11976,0.0,137,1.31884,,1822,832,81,,
2018-04-28,27048,Duel in the Dark,2007,Friedemann de Pedro,Aviation / Flight | Wargame | World War II,Friedemann de Pedro,False,[],"[Thing (id: 32604), Thing (id: 32556), Thing (id: 32646), Thing (id: 32607), Thing (id: 32605), Thing (id: 32618), Thing (id: 32554), Thing (id: 32558), Thing (id: 32555), Thing (id: 32560), Thing (id: 60636), Thing (id: 41805), Thing (id: 32562), Thing (id: 72648)]",Duel in the Dark | Solitaire Games | Solitaire Wargames,Duel in the Dark: Second Edition,2,Action / Movement Programming | Hex-and-Counter | Secret Unit Deployment,10,1,45,Pilot Games | Z-Man Games,"[Thing (id: 1), Thing (id: 4664), Thing (id: 5497)]",6.65139,2.4899,6.12109,0.0,198,1.38052,,2609,1358,254,,
2018-04-28,195856,Bloodborne: The Card Game,2016,Sean Chancey,Card Game | Fantasy | Horror | Video Game Theme,Eric M. Lang,False,[],[Thing (id: 233468)],,,5,Card Drafting | Dice Rolling | Hand Management | Press Your Luck | Set Collection | Simultaneous Action Selection | Variable Player Powers,14,3,45,CMON Limited | Edge Entertainment | Lavka Games | Portal Games,"[Thing (id: 1), Thing (id: 5496)]",7.00361,2.1111,6.30011,0.0,27,1.35526,,2731,1427,88,,
2018-04-28,143157,SOS Titanic,2013,Sandra Fesquet,Card Game,Bruno Cathala | Ludovic Maublanc,False,[],[],Crowdfunding: Kickstarter | Solitaire Games | Titanic,,5,Co-operative Play,8,1,30,Heidelberger Spieleverlag | Hobby Japan | Ludonaute,"[Thing (id: 1), Thing (id: 5499)]",6.68855,1.6479,6.12601,0.0,71,1.36372,,1922,1233,56,,
2018-04-28,40425,Maori,2009,Harald Lieske | Michael Menzel,Exploration | Nautical,Günter Burkhardt,False,[],[],Admin: Better Description Needed! | Country: New Zealand | Tropical theme,,5,Tile Placement,8,2,30,Hans im Glück | Rio Grande Games,"[Thing (id: 1), Thing (id: 5497), Thing (id: 5499)]",6.61518,1.7805,6.13235,0.0,123,1.14297,,1308,1404,38,,
2018-04-28,1484,Clue: The Great Museum Caper,1991,Tim Hildebrandt,Children's Game | Deduction,John LaBelle | Thomas Rabideau | Dave Rabideau,False,[],[],3D Games | Cluedo | Mensa Select,,4,Partnerships | Secret Unit Deployment,10,2,30,"Parker Brothers | Waddington's Games, Inc.","[Thing (id: 1), Thing (id: 5499)]",6.70867,1.918,6.13566,0.0,122,1.33257,,2249,1324,126,,
2018-04-28,205597,Jump Drive,2017,Martin Hoffmann | Claus Stephan | Mirko Suzuki,Card Game | Science Fiction,Thomas Lehmann,False,[],[],Race for the Galaxy,The City | Race for the Galaxy,4,Hand Management | Simultaneous Action Selection,13,2,30,Rio Grande Games,"[Thing (id: 1), Thing (id: 5497), Thing (id: 5499)]",7.12585,1.8947,6.44782,0.0,38,1.31977,,2471,1545,58,,
2018-04-28,8170,Return of the Heroes,2003,Christian Hanisch | Hans-Georg Schneider | Tom Thiel,Adventure | Exploration | Fantasy,Lutz Stepponat,False,[],[Thing (id: 25175)],Solitaire Games,,4,Dice Rolling | Modular Board | Pick-up and Deliver | Point to Point Movement | Role Playing | Variable Player Powers,10,1,90,Pegasus Spiele,"[Thing (id: 1), Thing (id: 5496)]",6.49927,2.3571,6.1218,0.0,238,1.45169,,2875,1961,236,,
